Unnamed: 0,ts_code,trade_date,pe,pe_ttm,pb,total_mv
221,601601.SH,20200407,9.1303,9.1303,1.4195,25328290.0
222,601601.SH,20200403,9.0519,9.0519,1.4073,25110802.0
223,601601.SH,20200402,9.2283,9.2283,1.4348,25600150.0
224,601601.SH,20200401,9.1303,9.1303,1.4195,25328290.0
225,601601.SH,20200331,9.2185,9.2185,1.4332,25572964.0
226,601601.SH,20200330,9.2838,9.2838,1.4434,25754204.0
227,601601.SH,20200327,9.3883,9.3883,1.4597,26044188.0
228,601601.SH,20200326,9.3361,9.3361,1.4515,25899196.0
229,601601.SH,20200325,9.5353,9.5353,1.4825,26451978.0
230,601601.SH,20200324,9.078,9.078,1.4114,25183298.0
231,601601.SH,20200323,8.6141,8.6141,1.3393,23896494.0
232,601601.SH,20200320,13.6792,8.7351,1.4479,24648640.0
233,601601.SH,20200319,13.4278,8.5745,1.4213,24195540.0
234,601601.SH,20200318,13.9559,8.9117,1.4772,25147050.0
235,601601.SH,20200317,14.0665,8.9824,1.4889,25346414.0
236,601601.SH,20200316,14.1872,9.0594,1.5017,25563902.0
237,601601.SH,20200313,14.9164,9.5251,1.5789,26877892.0
238,601601.SH,20200312,15.3187,9.782,1.6215,27602852.0
239,601601.SH,20200311,15.5752,9.9458,1.6486,28065014.0
240,601601.SH,20200310,15.9172,10.1642,1.6848,28681230.0
241,601601.SH,20200309,15.5702,9.9426,1.6481,28055952.0
242,601601.SH,20200306,16.4352,10.4949,1.7397,29614616.0
243,601601.SH,20200305,16.8426,10.7551,1.7828,30348638.0
244,601601.SH,20200304,16.1988,10.344,1.7146,29188702.0
245,601601.SH,20200303,16.1033,10.283,1.7045,29016524.0
246,601601.SH,20200302,16.2793,10.3954,1.7231,29333694.0
247,601601.SH,20200228,16.0379,10.2412,1.6976,28898718.0
248,601601.SH,20200227,16.6565,10.6362,1.7631,30013344.0
249,601601.SH,20200226,16.7219,10.678,1.77,30131150.0
