,ts_code,trade_date,net_mf_vol,net_mf_amount
441,603288.SH,20190425,-1729,-1486.43
442,603288.SH,20190424,924,812.62
443,603288.SH,20190423,2708,2347.03
444,603288.SH,20190422,-4238,-3615.97
445,603288.SH,20190419,-1243,-1053.53
446,603288.SH,20190418,667,579.64
447,603288.SH,20190417,1587,1377.56
448,603288.SH,20190416,4234,3623.19
449,603288.SH,20190415,-3820,-3224.35
450,603288.SH,20190412,-6359,-5411.21
451,603288.SH,20190411,-6095,-5278.7
452,603288.SH,20190410,6771,6022.32
453,603288.SH,20190409,5901,5149.31
454,603288.SH,20190408,1971,1838.8
455,603288.SH,20190404,-856,-704.22
456,603288.SH,20190403,4273,3646.69
457,603288.SH,20190402,-2620,-2223.83
458,603288.SH,20190401,-2083,-1752.47
459,603288.SH,20190329,17041,14619.94
460,603288.SH,20190328,7501,6185.83
461,603288.SH,20190327,16580,13336.71
462,603288.SH,20190326,4488,3539.98
463,603288.SH,20190325,-10958,-8290.05
464,603288.SH,20190322,-5820,-4498.43
465,603288.SH,20190321,-1777,-1368.0
466,603288.SH,20190320,1438,1150.21
467,603288.SH,20190319,-3243,-2538.65
468,603288.SH,20190318,19917,15590.5
469,603288.SH,20190315,7994,6037.57
470,603288.SH,20190314,5935,4399.65
471,603288.SH,20190313,-10325,-7476.19
472,603288.SH,20190312,-6200,-4611.09
473,603288.SH,20190311,-952,-704.35
474,603288.SH,20190308,201,153.05
475,603288.SH,20190307,-9878,-7455.28
476,603288.SH,20190306,-3312,-2547.06
477,603288.SH,20190305,-2579,-2010.56
478,603288.SH,20190304,-4400,-3428.71
479,603288.SH,20190301,-4442,-3439.95
480,603288.SH,20190228,1087,845.15
481,603288.SH,20190227,-6087,-4572.44
482,603288.SH,20190226,-1807,-1372.48
483,603288.SH,20190225,11299,8768.07
484,603288.SH,20190222,-165,-96.13
485,603288.SH,20190221,643,503.06
486,603288.SH,20190220,3352,2510.31
487,603288.SH,20190219,-3767,-2851.17
488,603288.SH,20190218,1353,1042.52
489,603288.SH,20190215,-5883,-4419.0
490,603288.SH,20190214,540,429.89
491,603288.SH,20190213,4250,3238.04
492,603288.SH,20190212,-1790,-1346.38
493,603288.SH,20190211,2910,2200.39
494,603288.SH,20190201,7668,5636.07
495,603288.SH,20190131,723,528.23
496,603288.SH,20190130,-3040,-2188.81
497,603288.SH,20190129,364,280.05
498,603288.SH,20190128,2008,1554.64
499,603288.SH,20190125,587,433.68
500,603288.SH,20190124,-1418,-1015.35
501,603288.SH,20190123,-3775,-2710.66
502,603288.SH,20190122,-4275,-3089.45
503,603288.SH,20190121,-2457,-1804.45
504,603288.SH,20190118,627,498.81
505,603288.SH,20190117,213,155.85
506,603288.SH,20190116,2274,1627.28
507,603288.SH,20190115,11800,8154.88
508,603288.SH,20190114,-4534,-3017.54
509,603288.SH,20190111,770,518.09
510,603288.SH,20190110,-6,1.3
511,603288.SH,20190109,11862,8031.75
512,603288.SH,20190108,-30,-11.71
513,603288.SH,20190107,-1991,-1322.15
514,603288.SH,20190104,-2466,-1612.78
515,603288.SH,20190103,-7070,-4572.03
516,603288.SH,20190102,-6643,-4438.6
517,603288.SH,20181228,2898,1963.24
518,603288.SH,20181227,5881,3977.04
519,603288.SH,20181226,1091,728.56
520,603288.SH,20181225,-1710,-1107.87
521,603288.SH,20181224,834,555.67
522,603288.SH,20181221,-765,-492.34
523,603288.SH,20181220,1492,1017.1
524,603288.SH,20181219,-1087,-729.52
525,603288.SH,20181218,-10125,-6817.24
526,603288.SH,20181217,1225,865.88
527,603288.SH,20181214,4476,3174.72
528,603288.SH,20181213,13189,9101.43
529,603288.SH,20181212,6661,4473.43
530,603288.SH,20181211,3021,2012.33
531,603288.SH,20181210,-2161,-1412.48
532,603288.SH,20181207,-308,-190.89
533,603288.SH,20181206,-7194,-4773.2
534,603288.SH,20181205,2801,1914.41
535,603288.SH,20181204,1280,870.8
536,603288.SH,20181203,6630,4455.26
537,603288.SH,20181130,6098,3908.1
538,603288.SH,20181129,-3718,-2340.73
539,603288.SH,20181128,6852,4288.02
540,603288.SH,20181127,-1506,-925.72
541,603288.SH,20181126,-2284,-1414.61
542,603288.SH,20181123,-5939,-3719.96
543,603288.SH,20181122,-2457,-1555.6
544,603288.SH,20181121,3246,2061.32
545,603288.SH,20181120,-4320,-2735.46
546,603288.SH,20181119,9275,5972.7
547,603288.SH,20181116,3005,1920.74
548,603288.SH,20181115,6398,4087.59
549,603288.SH,20181114,-3588,-2263.69
550,603288.SH,20181113,4190,2742.92
551,603288.SH,20181112,-1345,-868.89
552,603288.SH,20181109,2140,1401.13
553,603288.SH,20181108,-3799,-2476.56
