ts_code,total_cur_assets
002311,10726691580.998575
002624,10655331839.92357
002120,10545091539.271177
600547,10505343040.846
600809,10405312248.568748
002157,10263453232.191332
300413,10185271189.90625
601021,9959828509.88889
002050,9801116863.048233
000596,9795634578.80412
002230,9579474018.22
600584,9442635407.010624
600118,9385282222.568571
002602,9120006407.08875
600176,9001695982.088123
603019,8963131056.488462
600299,8892683311.2
002601,8742123483.244999
300124,8540307250.882307
600183,8434749111.012857
002032,8396170254.17125
002508,8306971443.421999
600588,8214552214.117647
600233,7984266021.68125
600845,7936651898.369375
600025,7770249467.461875
300122,7652135721.379374
000661,7630935771.470666
603501,7597128829.104999
688008,7126844865.152726
002841,6968041687.897857
002739,6941409364.399375
002371,6743797629.288462
603195,6689843039.101999
000723,6583359064.590667
600436,6511024848.255332
002460,6496581859.266667
002153,6485550463.169333
002044,6359908141.820714
603369,6292543074.984667
002558,6221496660.841538
300014,6161256274.6813345
300003,6001793305.173572
603833,5916480451.974706
000786,5853884293.334616
601216,5777156364.4021435
002555,5650583775.031177
002607,5459017662.690001
603160,5433036155.545
300408,5266083358.85
601698,5233878496.236667
601100,5175716336.719412
002007,5115854791.062
002916,4686811708.109285
002252,4645769393.494616
300015,4473607060.494
603899,4379318339.9125
002463,4332126717.8125
002812,4196691081.1192317
300676,4127794859.2392306
600989,4121809395.1639996
300136,4052478375.664285
300033,4035736628.176429
300628,4008637430.379334
600161,3953715568.731875
300347,3885749542.4856253
603087,3839440087.8266664
002049,3763757448.131333
600570,3737199681.3128576
688012,3615266603.015555
300142,3571006357.6069236
600872,3553624640.5307136
002773,3480318041.3535295
600004,3442807341.3900003
603986,3215492033.0499997
002410,3026112796.843333
300144,2806969239.005833
002414,2776009139.7592854
300601,2178658321.5235715
002821,1816011058.8761537
603658,1635303495.6393332
300529,1479024468.393125
603392,1219773141.03
600763,541512421.6099999
601881,0
601990,0
601988,0
601788,0
601939,0
000783,0
000166,0
601818,0
002142,0
601838,0
601878,0
000776,0
601916,0
601901,0
601998,0
000728,0
601398,0
601696,0
600919,0
601162,0
601108,0
601077,0
601066,0
601009,0
600999,0
600958,0
600926,0
600918,0
601169,0
600000,0
600837,0
600015,0
600016,0
600030,0
600036,0
600109,0
600369,0
601166,0
601198,0
601688,0
601336,0
002673,0
002736,0
601658,0
601628,0
601601,0
601577,0
601555,0
601377,0
601328,0
601211,0
601319,0
601318,0
601288,0
002939,0
601236,0
002945,0
601229,0
002958,0
000001,0
