ts_code,month_vol
002739,644418087.2857143
002007,636805095.2857143
600183,628733682.0
002252,623405360.2857143
000333,619244415.7142857
601229,614872316.4285715
601006,613163060.1428572
002624,612753058.5714285
600068,611261011.7142857
000977,609675129.7142857
300014,608538586.8571428
600547,606272728.5714285
600585,598962526.1428572
002460,594785682.1428572
601998,582531492.7142857
601628,571361105.7142857
600660,570301247.8571428
300136,566411038.7142857
600061,562559690.1428572
002714,558759122.7142857
600276,549036356.0
300003,546558026.4285715
688009,537601377.7142857
002601,533531524.4285714
300144,525667302.85714287
002463,524503522.14285713
000963,515093204.4285714
002736,513027639.85714287
601360,507794090.71428573
002001,502221122.4285714
002146,499863932.14285713
300015,499802168.85714287
002008,497985490.0
600177,468200008.4285714
600233,463385619.14285713
600655,462874993.4285714
002271,458359173.71428573
603019,451699523.0
600004,447472094.0
600741,447239324.4285714
600118,445747819.28571427
601577,442001177.0
000858,427533193.28571427
600406,423754326.4285714
600760,423315710.85714287
002352,420357424.71428573
600340,419988562.14285713
600588,419541620.5714286
002939,418504850.4285714
600066,411451530.71428573
601336,393656287.5714286
300122,389830025.4285714
601198,384533966.71428573
601231,383367807.0
600009,381472889.14285713
600309,380449970.5714286
300408,377806480.71428573
000627,376724210.28571427
601696,375357657.4285714
601236,363072955.14285713
600886,357988061.14285713
600390,345197904.14285713
600487,342954014.71428573
601698,341684465.5714286
600745,341578488.14285713
601607,338573498.14285713
002120,338218433.0
002049,327270612.0
002945,312351839.5714286
600085,308370635.4285714
000895,305436401.4285714
603259,293490244.5714286
600570,290182599.0
002422,288649236.0
002414,282230088.0
600150,277728733.71428573
000568,276039343.28571427
601877,275185048.85714287
000786,274888717.4285714
603369,274697300.4285714
300124,273263418.5714286
601808,270376681.5714286
601888,270194394.0
600161,265089751.7142857
001979,264262956.42857143
600637,257888587.57142857
002607,252059726.42857143
000860,232216417.57142857
600498,231258224.57142857
002179,223135273.57142857
002938,220821078.57142857
600299,205695704.14285713
002508,199821930.42857143
002304,198159661.85714287
600271,193610919.14285713
300413,192248641.2857143
601155,191165428.7142857
002311,187277822.14285713
603986,185902371.42857143
603501,182047084.0
000538,171395221.7142857
600998,167810366.14285713
002558,167480177.57142857
600332,163307820.14285713
600872,162644891.0
300033,162430221.7142857
002371,155310054.14285713
002410,154513777.85714287
002812,150673113.14285713
600482,147620875.0
600600,147177367.14285713
300601,145420779.2857143
601100,132814372.14285715
300676,130031554.85714285
300529,129178560.71428572
300347,129009162.57142857
688008,123305379.42857143
601021,122893798.42857143
600845,118169094.14285715
002916,116201798.85714285
600809,116017263.14285715
603288,112206886.14285715
000708,110348222.71428572
000661,106104394.28571428
002153,101643276.71428572
002773,98031908.57142857
600848,96349025.14285715
600436,91894450.0
603156,91188165.28571428
688012,90561813.71428572
603160,84235822.57142857
300628,74166230.85714285
603899,69979824.71428572
600519,69802103.85714285
688036,68033885.14285715
600763,56222363.571428575
000596,55449854.14285714
603658,53406441.571428575
002821,50871325.428571425
603087,49503494.28571428
603833,43603060.85714286
603195,38138015.0
002032,35931954.14285714
603392,34198957.85714286
002841,28843678.14285714
